piece	acte	scene	replique	id	nom	texte	didascalie
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	110	VALÈRE	VALÈRE	Cela se pourrait faire ; et nous tâchons de rencontrer quelque habile homme, quelque médecin particulier, qui pût donner quelque soulagement à la fille notre maître, attaquée d'une maladie qui lui a ôté, tout d'un coup, l'usage de la langue. Plusieurs médecins ont déjà épuisé toute leur science après elle : mais on trouve, parfois, des gens avec des secrets admirables, de certains remèdes particuliers, qui font le plus souvent ce que les autres n'ont su faire, et c'est là, ce que nous cherchons.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	111	MARTINE	MARTINE	<didascalie>Elle dit ces premières lignes bas.</didascalie>Ah ! Que le Ciel m'inspire une admirable invention pour me venger de mon pendard ! <didascalie>Haut.</didascalie>Vous ne pouviez jamais vous mieux adresser pour rencontrer ce que vous cherchez : et nous avons ici un homme, le plus merveilleux homme du monde, pour les maladies désespérées.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	112	VALÈRE	VALÈRE	Et de grâce, où pouvons-nous le rencontrer ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	113	MARTINE	MARTINE	Vous le trouverez, maintenant, vers ce petit lieu que voilà, qui s'amuse à couper du bois.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	114	LUCAS	LUCAS	Un médecin qui coupe du bois !	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	115	VALÈRE	VALÈRE	Qui s'amuse à cueillir des simples, voulez-vous dire ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	116	MARTINE	MARTINE	Non : c'est un homme extraordinaire qui se plaît à cela, fantasque, bizarre, quinteux, et que vous ne prendriez jamais, pour ce qu'il est. Il va vêtu d'une façon extravagante, affecte, quelquefois, de paraître ignorant, tient sa science renfermée, et ne fuit rien tant tous les jours que d'exercer les merveilleux talents qu'il a eus du ciel, pour la médecine.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	117	VALÈRE	VALÈRE	C'est une chose admirable, que tous les grands hommes ont toujours du caprice, quelque petit grain de folie mêlé à leur science.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	118	MARTINE	MARTINE	La folie de celui-ci, est plus grande qu'on ne peut croire, car elle va parfois jusqu'à vouloir être battu pour demeurer d'accord de sa capacité : et je vous donne avis que vous n'en viendrez point à bout, qu'il n'avouera jamais, qu'il est médecin, s'il se le met en fantaisie, que vous ne preniez chacun un bâton, et ne le réduisiez, à force de coups, à vous confesser à la fin ce qu'il vous cachera d'abord. C'est ainsi que nous en usons quand nous avons besoin de lui.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	119	VALÈRE	VALÈRE	Voilà une étrange folie !	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	120	MARTINE	MARTINE	Il est vrai : mais, après cela, vous verrez qu'il fait des merveilles.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	121	VALÈRE	VALÈRE	Comment s'appelle-t-il ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	122	MARTINE	MARTINE	Il s'appelle Sganarelle : mais il est aisé à connaître. C'est un homme qui a une large barbe noire, et qui porte une fraise, avec un habit jaune et vert.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	123	LUCAS	LUCAS	Un habit jaune et vert ! C'est donc le médecin des paroquets ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	124	VALÈRE	VALÈRE	Mais est-il bien vrai qu'il soit si habile, que vous le dites ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	125	MARTINE	MARTINE	Comment ! C'est un homme qui fait des miracles. Il y a six mois qu'une femme fut abandonnée de tous les autres médecins. On la tenait morte? il y avait déjà six heures : et l'on se disposait à l'ensevelir, lorsqu'on y fit venir de force l'homme dont nous parlons. Il lui mit, l'ayant vue, une petite goutte de je ne sais quoi dans la bouche : et dans le même instant, elle se leva de son lit, et se mit, aussitôt, à se promener dans sa chambre, comme si de rien n'eût été.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	126	LUCAS	LUCAS	Ah !	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	127	VALÈRE	VALÈRE	Il fallait que ce fût quelque goutte d'or potable.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	128	MARTINE	MARTINE	Cela pourrait bien être. Il n'y a pas trois semaines, encore, qu'un jeune enfant de douze ans tomba du haut du clocher, en bas, et se brisa, sur le pavé, la tête, les bras et les jambes. On n'y eut pas plutôt amené notre homme, qu'il le frotta par tout le corps, d'un certain onguent qu'il sait faire ; et l'enfant aussitôt se leva sur ses pieds, et courut jouer à la fossette.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	129	LUCAS	LUCAS	Ah !	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	130	VALÈRE	VALÈRE	Il faut que cet homme-là ait la médecine universelle.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	131	MARTINE	MARTINE	Qui en doute ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	132	LUCAS	LUCAS	Testigué, vela justement l'homme qu'il nous faut : allons vite le chercher.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	133	VALÈRE	VALÈRE	Nous vous remercions du plaisir que vous nous faites.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	134	MARTINE	MARTINE	Mais souvenez-vous bien au moins, de l'avertissement que je vous ai donné.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	135	LUCAS	LUCAS	Eh ! Morguenne, laissez-nous faire, s'il ne tient qu'à battre, la vache est à nous.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	136	VALÈRE	VALÈRE	Nous sommes bien heureux d'avoir fait cette rencontre : et j'en conçois, pour moi, la meilleure espérance du monde.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	V	137	SGANARELLE	SGANARELLE entre sur le théâtre en chantant et tenant une bouteille	La, la, la.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	V	138	VALÈRE	VALÈRE	J'entends quelqu'un qui chante, et qui coupe du bois.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	V	139	SGANARELLE	SGANARELLE	La, la, la... Ma foi, c'est assez travaillé pour un coup : prenons un peu d'haleine. <didascalie>Il boit, et dit après avoir bu :</didascalie>Voilà du bois qui est salé, comme tous les diables.<poem type='chanson'><lg n="1"><l id='1'>Qu'ils sont doux, </l><l id='2'>Bouteille jolie, </l><l id='3'>Qu'ils sont doux </l><l id='4'>Vos petits glou-gloux ! </l><l id='5'>Mais mon sort ferait bien des jaloux,</l><l id='6'>Si vous étiez toujours remplie. </l><l id='7'>Ah ! Bouteille, ma mie, </l><l id='8'>Pourquoi vous videz-vous ? </l></lg></poem>Allons, morbleu ! Il ne faut point engendrer de mélancolie.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	V	140	VALÈRE	VALÈRE	Le voilà lui-même.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	V	141	LUCAS	LUCAS	Je pense que vous dites vrai, et que j'avons bouté le nez dessus.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	V	142	VALÈRE	VALÈRE	Voyons de près.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	V	144	VALÈRE	VALÈRE	C'est lui assurément...	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	V	145	LUCAS	LUCAS	Le velà tout craché comme on nous l'a défiguré.	
