piece	div1_nom	div1_num	div2_nom	div2_num	pos	SGANARELLE	MARTINE	MONSIEUR-ROBERT	VALÈRE	LUCAS	GÉRONTE	JACQUELINE	LUCINDE	LÉANDRE	THIBAUT	PERRIN
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	37	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	38	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	39	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	40	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	41	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	42	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	43	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	44	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	45	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	46	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	47	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	48	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	49	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	50	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	51	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	52	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	53	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	54	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	55	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	56	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	57	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	58	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	59	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	60	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	61	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	62	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	63	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	64	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	65	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	66	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	67	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	68	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	69	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	70	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	71	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	72	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	73	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	74	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	75	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	76	1	1	1	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE II	2	77	1	1	1	0	0	0	0	0	0	0	0
