piece	div1_nom	div1_num	div2_nom	div2_num	pos	id	nom	texte	didascalie
Macbeth	Act 1	1	Scene 3	3	48	Banquo	Banquo	                        <l xml:id="sha-mac103039" n="39">              How far is't called to Forres? What are these            </l>                        <l xml:id="sha-mac103040" n="40">              So withered and so wild in their attire,            </l>                        <l xml:id="sha-mac103041" n="41">              That look not like the inhabitants o' the earth,            </l>                        <l xml:id="sha-mac103042" n="42">              And yet are on't? Live you? or are you aught            </l>                        <l xml:id="sha-mac103043" n="43">              That man may question? You seem to understand me,            </l>                        <l xml:id="sha-mac103044" n="44">              By each at once her choppy finger laying            </l>                        <l xml:id="sha-mac103045" n="45">              Upon her skinny lips: you should be women,            </l>                        <l xml:id="sha-mac103046" n="46">              And yet your beards forbid me to interpret            </l>                        <l xml:id="sha-mac103047I" n="47">              That you are so.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	49	Macbeth	Macbeth	                        <l xml:id="sha-mac103047F" n="47">              Speak, if you can: what are you?            </l>                    	
Macbeth	Act 1	1	Scene 3	3	50	mac-first-witch.	First Witch	                        <l xml:id="sha-mac103048" n="48">              All hail, Macbeth! hail to thee, thane of Glamis!            </l>                    	
Macbeth	Act 1	1	Scene 3	3	51	mac-sec.-witch.	Second Witch	                        <l xml:id="sha-mac103049" n="49">              All hail, Macbeth! hail to thee, thane of Cawdor!            </l>                    	
Macbeth	Act 1	1	Scene 3	3	52	mac-third-witch.	Third Witch	                        <l xml:id="sha-mac103050" n="50">              All hail, Macbeth, that shalt be king hereafter!            </l>                    	
Macbeth	Act 1	1	Scene 3	3	53	Banquo	Banquo	                        <l xml:id="sha-mac103051" n="51">              Good sir, why do you start; and seem to fear            </l>                        <l xml:id="sha-mac103052" n="52">              Things that do sound so fair? I' the name of truth,            </l>                        <l xml:id="sha-mac103053" n="53">              Are ye fantastical, or that indeed            </l>                        <l xml:id="sha-mac103054" n="54">              Which outwardly ye show? My noble partner            </l>                        <l xml:id="sha-mac103055" n="55">              You greet with present grace and great prediction            </l>                        <l xml:id="sha-mac103056" n="56">              Of noble having and of royal hope,            </l>                        <l xml:id="sha-mac103057" n="57">              That he seems rapt withal: to me you speak not.            </l>                        <l xml:id="sha-mac103058" n="58">              If you can look into the seeds of time,            </l>                        <l xml:id="sha-mac103059" n="59">              And say which grain will grow and which will not,            </l>                        <l xml:id="sha-mac103060" n="60">              Speak then to me, who neither beg nor fear            </l>                        <l xml:id="sha-mac103061" n="61">              Your favours nor your hate.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	54	mac-first-witch.	First Witch	                        <l xml:id="sha-mac103062" n="62">              Hail!            </l>                    	
Macbeth	Act 1	1	Scene 3	3	55	mac-sec.-witch.	Second Witch	                        <l xml:id="sha-mac103063" n="63">              Hail!            </l>                    	
Macbeth	Act 1	1	Scene 3	3	56	mac-third-witch.	Third Witch	                        <l xml:id="sha-mac103064" n="64">              Hail!            </l>                    	
Macbeth	Act 1	1	Scene 3	3	57	mac-first-witch.	First Witch	                        <l xml:id="sha-mac103065" n="65">              Lesser than Macbeth, and greater.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	58	mac-sec.-witch.	Second Witch	                        <l xml:id="sha-mac103066" n="66">              Not so happy, yet much happier.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	59	mac-third-witch.	Third Witch	                        <l xml:id="sha-mac103067" n="67">              Thou shalt get kings, though thou be none:            </l>                        <l xml:id="sha-mac103068" n="68">              So all hail, Macbeth and Banquo!            </l>                    	
Macbeth	Act 1	1	Scene 3	3	60	mac-first-witch.	First Witch	                        <l xml:id="sha-mac103069" n="69">              Banquo and Macbeth, all hail!            </l>                    	
Macbeth	Act 1	1	Scene 3	3	61	Macbeth	Macbeth	                        <l xml:id="sha-mac103070" n="70">              Stay, you imperfect speakers, tell me more:            </l>                        <l xml:id="sha-mac103071" n="71">              By Sinel's death I know I am thane of Glamis;            </l>                        <l xml:id="sha-mac103072" n="72">              But how of Cawdor? the thane of Cawdor lives,            </l>                        <l xml:id="sha-mac103073" n="73">              A prosperous gentleman; and to be king            </l>                        <l xml:id="sha-mac103074" n="74">              Stands not within the prospect of belief,            </l>                        <l xml:id="sha-mac103075" n="75">              No more than to be Cawdor. Say from whence            </l>                        <l xml:id="sha-mac103076" n="76">              You owe this strange intelligence? or why            </l>                        <l xml:id="sha-mac103077" n="77">              Upon this blasted heath you stop our way            </l>                        <l xml:id="sha-mac103078" n="78">              With such prophetic greeting? Speak, I charge you.              <didascalie>Witches vanish.</didascalie></l>                    	
Macbeth	Act 1	1	Scene 3	3	62	Banquo	Banquo	                        <l xml:id="sha-mac103079" n="79">              The earth hath bubbles, as the water has,            </l>                        <l xml:id="sha-mac103080" n="80">              And these are of them. Whither are they vanished?            </l>                    	
Macbeth	Act 1	1	Scene 3	3	63	Macbeth	Macbeth	                        <l xml:id="sha-mac103081" n="81">              Into the air; and what seemed corporal melted            </l>                        <l xml:id="sha-mac103082" n="82">              As breath into the wind. Would they had stayed!            </l>                    	
Macbeth	Act 1	1	Scene 3	3	64	Banquo	Banquo	                        <l xml:id="sha-mac103083" n="83">              Were such things here as we do speak about?            </l>                        <l xml:id="sha-mac103084" n="84">              Or have we eaten on the insane root            </l>                        <l xml:id="sha-mac103085" n="85">              That takes the reason prisoner?            </l>                    	
Macbeth	Act 1	1	Scene 3	3	65	Macbeth	Macbeth	                        <l xml:id="sha-mac103086I" n="86">              Your children shall be kings.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	66	Banquo	Banquo	                        <l xml:id="sha-mac103086F" n="86">              You shall be king.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	67	Macbeth	Macbeth	                        <l xml:id="sha-mac103087" n="87">              And thane of Cawdor too: went it not so?            </l>                    	
Macbeth	Act 1	1	Scene 3	3	68	Banquo	Banquo	                        <l xml:id="sha-mac103088" n="88">              To the selfsame tune and words.            </l>                        <l xml:id="sha-mac103089" n="89">              Who's here?              <didascalie>Enter ROSS and ANGUS.</didascalie></l>                    	
Macbeth	Act 1	1	Scene 3	3	69	Ross	Ross	                        <l xml:id="sha-mac103090" n="90">              The king hath happily received, Macbeth,            </l>                        <l xml:id="sha-mac103091" n="91">              The news of thy success; and when he reads            </l>                        <l xml:id="sha-mac103092" n="92">              Thy personal venture in the rebels' fight,            </l>                        <l xml:id="sha-mac103093" n="93">              His wonders and his praises do contend            </l>                        <l xml:id="sha-mac103094" n="94">              Which should be thine or his: silenced with that,            </l>                        <l xml:id="sha-mac103095" n="95">              In viewing o'er the rest o' the selfsame day,            </l>                        <l xml:id="sha-mac103096" n="96">              He finds thee in the stout Norweyan ranks,            </l>                        <l xml:id="sha-mac103097" n="97">              Nothing afeard of what thyself didst make,            </l>                        <l xml:id="sha-mac103098" n="98">              Strange images of death. As thick as tale            </l>                        <l xml:id="sha-mac103099" n="99">              Came post with post; and every one did bear            </l>                        <l xml:id="sha-mac103100" n="100">              Thy praises in his kingdom's great defence,            </l>                        <l xml:id="sha-mac103101I" n="101">              And poured them down before him.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	70	Angus2	Angus	                        <l xml:id="sha-mac103101F" n="101">              We are sent            </l>                        <l xml:id="sha-mac103102" n="102">              To give thee from our royal master thanks;            </l>                        <l xml:id="sha-mac103103" n="103">              Only to herald thee into his sight,            </l>                        <l xml:id="sha-mac103104" n="104">              Not pay thee.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	71	Ross	Ross	                        <l xml:id="sha-mac103105" n="105">              And, for an earnest of a greater honour,            </l>                        <l xml:id="sha-mac103106" n="106">              He bade me, from him, call thee thane of Cawdor:            </l>                        <l xml:id="sha-mac103107" n="107">              In which addition, hail, most worthy thane!            </l>                        <l xml:id="sha-mac103108I" n="108">              For it is thine.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	72	Banquo	Banquo	                        <l xml:id="sha-mac103108F" n="108">              What, can the devil speak true?            </l>                    	
Macbeth	Act 1	1	Scene 3	3	73	Macbeth	Macbeth	                        <l xml:id="sha-mac103109" n="109">              The thane of Cawdor lives: why do you dress me            </l>                        <l xml:id="sha-mac103110I" n="110">              In borrowed robes?            </l>                    	
Macbeth	Act 1	1	Scene 3	3	74	Angus2	Angus	                        <l xml:id="sha-mac103110F" n="110">              Who was the thane lives yet;            </l>                        <l xml:id="sha-mac103111" n="111">              But under heavy judgement bears that life            </l>                        <l xml:id="sha-mac103112" n="112">              Which he deserves to lose. Whether he was combined            </l>                        <l xml:id="sha-mac103113" n="113">              With those of Norway, or did line the rebel            </l>                        <l xml:id="sha-mac103114" n="114">              With hidden help and vantage, or that with both            </l>                        <l xml:id="sha-mac103115" n="115">              He laboured in his country's wrack, I know not;            </l>                        <l xml:id="sha-mac103116" n="116">              But treasons capital, confessed and proved,            </l>                        <l xml:id="sha-mac103117I" n="117">              Have overthrown him.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	75	Macbeth	Macbeth	                        <didascalie>Aside</didascalie><l xml:id="sha-mac103117F" n="117">              Glamis, and thane of Cawdor!            </l>                        <l xml:id="sha-mac103118" n="118">              The greatest is behind.              <didascalie>To Ross and Angus</didascalie></l>                        <l xml:id="sha-mac103119" n="119">              Thanks for your pains.              <didascalie>To Ban.</didascalie></l>                        <l xml:id="sha-mac103120" n="120">              Do you not hope your children shall be kings,            </l>                        <l xml:id="sha-mac103121" n="121">              When those that gave the thane of Cawdor to me            </l>                        <l xml:id="sha-mac103122I" n="122">              Promised no less to them?            </l>                    	
Macbeth	Act 1	1	Scene 3	3	76	Banquo	Banquo	                        <l xml:id="sha-mac103122F" n="122">              That trusted home            </l>                        <l xml:id="sha-mac103123" n="123">              Might yet enkindle you unto the crown,            </l>                        <l xml:id="sha-mac103124" n="124">              Besides the thane of Cawdor. But 'tis strange:            </l>                        <l xml:id="sha-mac103125" n="125">              And oftentimes, to win us to our harm,            </l>                        <l xml:id="sha-mac103126" n="126">              The instruments of darkness tell us truths,            </l>                        <l xml:id="sha-mac103127" n="127">              Win us with honest trifles, to betray's            </l>                        <l xml:id="sha-mac103128" n="128">              In deepest consequence.            </l>                        <l xml:id="sha-mac103129I" n="129">              Cousins, a word, I pray you.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	77	Macbeth	Macbeth	                        <didascalie>Aside</didascalie><l xml:id="sha-mac103129F" n="129">              Two truths are told,            </l>                        <l xml:id="sha-mac103130" n="130">              As happy prologues to the swelling act            </l>                        <l xml:id="sha-mac103131" n="131">              Of the imperial theme. — I thank you, gentlemen.              <didascalie>Aside</didascalie></l>                        <l xml:id="sha-mac103132" n="132">              This supernatural soliciting            </l>                        <l xml:id="sha-mac103133" n="133">              Cannot be ill, cannot be good: if ill,            </l>                        <l xml:id="sha-mac103134" n="134">              Why hath it given me earnest of success,            </l>                        <l xml:id="sha-mac103135" n="135">              Commencing in a truth? I am thane of Cawdor:            </l>                        <l xml:id="sha-mac103136" n="136">              If good, why do I yield to that suggestion            </l>                        <l xml:id="sha-mac103137" n="137">              Whose horrid image doth unfix my hair            </l>                        <l xml:id="sha-mac103138" n="138">              And make my seated heart knock at my ribs,            </l>                        <l xml:id="sha-mac103139" n="139">              Against the use of nature? Present fears            </l>                        <l xml:id="sha-mac103140" n="140">              Are less than horrible imaginings:            </l>                        <l xml:id="sha-mac103141" n="141">              My thought, whose murder yet is but fantastical,            </l>                        <l xml:id="sha-mac103142" n="142">              Shakes so my single state of man that function            </l>                        <l xml:id="sha-mac103143" n="143">              Is smothered in surmise, and nothing is            </l>                        <l xml:id="sha-mac103144I" n="144">              But what is not.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	78	Banquo	Banquo	                        <l xml:id="sha-mac103144F" n="144">              Look, how our partner's rapt.            </l>                    	
